Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
68,RV61 Malija,145.7625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
69,RV62 Krim,145.775,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
70,RV63 Kanin,145.7875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
71,RV63 Mozirje,145.7875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
72,RV63 Cretez,145.7875,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
73,1 ZARE,173.5125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
74,2 ZARE,173.4375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
75,3 ZARE,173.2125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
76,4 ZARE,173.2875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
77,5 ZARE,173.3875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
78,6 ZARE,173.4125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
79,7 Stjak,173.5125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
80,8 ZARE,173.375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
81,9 ZARE,173.5625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
82,10 ZARE,173.1375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
83,11 ZARE,173.2125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
84,12 ZARE,173.1125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
85,13 ZARE,173.3375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
86,14 ZARE,173.2875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
87,15 Krim,173.5375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
88,16 Sm. Gora,173.4375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
89,17 ZARE,173.1875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
90,18 ZARE,173.2125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
91,19 ZARE,173.3875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
92,20 ZARE,173.2375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
93,21 ZARE,173.2625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
94,22 ZARE,173.1875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
95,23 ZARE,173.3125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
96,24 Zidovnik,173.0875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
97,25 ZARE,173.3625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
98,26 Nanos,173.2375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
99,27 ZARE,173.5625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
100,28 Artvize,173.1625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
101,29 ZARE,173.1625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
102,30 ZARE,173.55,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
103,31 MREP Cerje,173.3,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
104,32 MREP,173.4,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
105,33 HELI ZARE,173.075,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
106,34 HELI ZARE,173.1,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
107,35 ZARE,173.125,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
108,36 ZARE,173.15,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
109,37 ZARE,173.175,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
110,38 ZARE,173.2,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
111,39 KGZ Simplex,173.225,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
112,40 ZARE,173.25,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
113,41 ZARE,173.275,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
114,42 ZARE,173.3,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
115,43 ZARE,173.325,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
116,44 ZARE,173.35,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
117,45 ZARE,173.375,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
118,46 ZARE,173.4,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
119,47 ZARE,173.425,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
120,48 ZARE,173.5,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
121,49 ZARE,173.525,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
122,50 ZARE,173.55,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
123,51 ZARE,168.575,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
124,52 ZARE,168.6,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
125,53 ZARE,168.625,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
126,54 ZARE,168.65,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
127,55 ZARE,168.675,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
128,56 ZARE,168.7,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
129,57 ZARE,168.725,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
130,58 ZARE,168.75,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
